pdf_name,overall_score_100_count,overall_score_100_mean,overall_score_100_std,overall_score_100_var,overall_score_100_min,overall_score_100_max,overall_score_100_median,general_score_100_count,general_score_100_mean,general_score_100_std,general_score_100_var,general_score_100_min,general_score_100_max,general_score_100_median,proposed_research_score_100_count,proposed_research_score_100_mean,proposed_research_score_100_std,proposed_research_score_100_var,proposed_research_score_100_min,proposed_research_score_100_max,proposed_research_score_100_median,training_development_score_100_count,training_development_score_100_mean,training_development_score_100_std,training_development_score_100_var,training_development_score_100_min,training_development_score_100_max,training_development_score_100_median,sites_support_score_100_count,sites_support_score_100_mean,sites_support_score_100_std,sites_support_score_100_var,sites_support_score_100_min,sites_support_score_100_max,sites_support_score_100_median,wpcc_score_100_count,wpcc_score_100_mean,wpcc_score_100_std,wpcc_score_100_var,wpcc_score_100_min,wpcc_score_100_max,wpcc_score_100_median,application_form_score_100_count,application_form_score_100_mean,application_form_score_100_std,application_form_score_100_var,application_form_score_100_min,application_form_score_100_max,application_form_score_100_median
IC00001_DF_Doctoral.pdf,3,89.33333333333333,0.4725815626252588,0.22333333333333139,88.8,89.7,89.5,3,88.66666666666667,2.88675134594813,8.33333333333334,87.0,92.0,87.0,3,93.46666666666665,1.457166199626296,2.123333333333342,92.1,95.0,93.3,3,91.7,5.0,25.0,86.7,96.7,91.7,3,83.3,7.531932023060224,56.73000000000008,76.2,91.2,82.5,3,84.83333333333333,6.115826463637872,37.40333333333332,77.8,88.9,87.8,3,93.89999999999999,3.8105117766515275,14.519999999999982,91.7,98.3,91.7
IC00029_RfPB.pdf,3,81.5,2.2516660498395407,5.07,79.2,83.7,81.6,3,74.23333333333333,3.6896250938724626,13.613333333333378,71.1,78.3,73.3,3,93.33333333333333,3.426854728950921,11.743333333333291,90.4,97.1,92.5,3,21.099999999999998,8.515867542417508,72.52000000000002,11.7,28.3,23.3,3,73.36666666666666,5.056019514730267,25.563333333333286,68.8,78.8,72.5,3,81.46666666666667,4.445597072760117,19.76333333333332,76.7,85.5,82.2,3,84.96666666666665,2.88675134594813,8.33333333333334,83.3,88.3,83.3
IC00087_DCAF_Doctoral.pdf,3,88.96666666666665,2.328805129961144,5.423333333333341,86.3,90.6,90.0,3,88.33333333333333,5.131601439446882,26.333333333333318,84.0,94.0,87.0,3,93.83333333333333,2.309401076758502,5.333333333333329,92.5,96.5,92.5,3,83.89999999999999,3.482814953453594,12.12999999999996,80.0,86.7,85.0,3,90.39999999999999,4.4136152981427825,19.480000000000004,86.2,95.0,90.0,3,89.60000000000001,3.915354390090381,15.330000000000021,85.5,93.3,90.0,3,87.56666666666666,2.289832599412746,5.243333333333334,85.0,89.4,88.3
IC00091_AF_Postdoctoral.pdf,3,88.23333333333333,1.550268793897795,2.4033333333333244,86.7,89.8,88.2,3,89.0,1.7320508075688772,3.0,87.0,90.0,90.0,3,93.33333333333333,2.88675134594813,8.33333333333334,90.0,95.0,95.0,3,97.76666666666667,3.8682468035704964,14.963333333333363,93.3,100.0,100.0,3,82.5,6.614378277661476,43.75,77.5,90.0,80.0,3,74.03333333333335,1.6802777548171384,2.8233333333333235,72.2,75.5,74.4,3,92.8,3.482814953453603,12.130000000000024,90.0,96.7,91.7
IC00157_ACAF_Postdoctoral.pdf,3,80.43333333333334,4.701418225741392,22.103333333333342,75.8,85.2,80.3,3,91.66666666666667,1.5275252316519452,2.3333333333333286,90.0,93.0,92.0,3,86.36666666666667,1.7214335111567078,2.9633333333333116,85.0,88.3,85.8,3,88.33333333333333,9.258689612106748,85.7233333333334,80.0,98.3,86.7,3,82.10000000000001,8.87299273075325,78.73,72.5,90.0,83.8,3,45.93333333333334,10.276834791575338,105.61333333333332,40.0,57.8,40.0,3,88.33333333333333,1.650252505931542,2.7233333333333345,86.7,90.0,88.3
IC00159_RfPB.pdf,3,78.33333333333333,0.11547005383792781,0.013333333333333948,78.2,78.4,78.4,3,74.43333333333334,1.962990915244729,3.8533333333333384,73.3,76.7,73.3,3,90.86666666666667,0.5773502691896247,0.33333333333333215,90.2,91.2,91.2,3,0.0,0.0,0.0,0.0,0.0,0.0,3,69.56666666666666,4.007908847932211,16.0633333333333,65.0,72.5,71.2,3,72.96666666666665,2.345918441321715,5.5033333333333045,71.1,75.6,72.2,3,83.86666666666666,0.9814954576223717,0.9633333333333487,83.3,85.0,83.3
IC00458_RfPB.pdf,3,53.0,1.1532562594670757,1.3299999999999912,52.1,54.3,52.6,3,10.566666666666666,2.4193663082165413,5.853333333333337,8.7,13.3,9.7,3,91.06666666666668,1.4433756729740634,2.0833333333333304,89.4,91.9,91.9,3,0.0,0.0,0.0,0.0,0.0,0.0,3,36.266666666666666,3.288363321370274,10.81333333333334,33.8,40.0,35.0,3,88.5,2.821347195933175,7.9599999999999875,85.5,91.1,88.9,3,91.63333333333333,5.773502691896256,33.33333333333332,88.3,98.3,88.3
IC00464_after.pdf,3,83.53333333333333,1.3012814197295395,1.6933333333333258,82.2,84.8,83.6,3,72.13333333333334,2.3797758998135405,5.663333333333346,70.0,74.7,71.7,3,92.93333333333334,1.5011106998930228,2.2533333333333205,91.2,93.8,93.8,3,59.43333333333334,4.178915329763614,17.46333333333333,55.0,63.3,60.0,3,94.16666666666667,5.20416499866533,27.083333333333314,90.0,100.0,92.5,3,94.06666666666666,2.3459184413217242,5.503333333333347,92.2,96.7,93.3,3,88.33333333333333,4.384442191811098,19.2233333333333,85.0,93.3,86.7
IC00494_after.pdf,3,65.03333333333333,0.9504384952922197,0.9033333333333387,64.1,66.0,65.0,3,19.2,1.558845726811988,2.429999999999995,18.3,21.0,18.3,3,93.56666666666668,1.4433756729740634,2.0833333333333304,91.9,94.4,94.4,3,31.666666666666668,1.6502525059315414,2.723333333333332,30.0,33.3,31.7,3,68.76666666666667,1.250333288900733,1.5633333333333241,67.5,70.0,68.8,3,82.56666666666666,3.3605555096342865,11.293333333333358,78.9,85.5,83.3,3,94.26666666666667,3.536005279030748,12.503333333333318,91.7,98.3,92.8
IC00527_after.pdf,3,82.5,1.8999999999999946,3.609999999999979,80.9,84.6,82.0,3,76.89999999999999,10.045894683899494,100.9200000000001,65.3,82.7,82.7,3,88.53333333333335,3.074627348693386,9.453333333333322,85.0,90.6,90.0,3,77.76666666666667,3.868246803570494,14.963333333333345,73.3,80.0,80.0,3,78.76666666666667,4.479211240088301,20.06333333333337,73.8,82.5,80.0,3,80.76666666666667,4.221768981521052,17.823333333333302,77.8,85.6,78.9,3,92.2,6.71788657242737,45.12999999999997,85.0,98.3,93.3
