pdf_name,run_idx,group,overall_score_100,overall_score_10,quality_score_100,coverage_score_100,avg_signal_score_0to5,total_items,signal_count,good_items,positive_items,pool_size,source_pdf,parsed_json,result_json,general_score_100,general_score_10,general_quality_score_100,general_coverage_score_100,general_signal_count,proposed_research_score_100,proposed_research_score_10,proposed_research_quality_score_100,proposed_research_coverage_score_100,proposed_research_signal_count,training_development_score_100,training_development_score_10,training_development_quality_score_100,training_development_coverage_score_100,training_development_signal_count,sites_support_score_100,sites_support_score_10,sites_support_quality_score_100,sites_support_coverage_score_100,sites_support_signal_count,wpcc_score_100,wpcc_score_10,wpcc_quality_score_100,wpcc_coverage_score_100,wpcc_signal_count,application_form_score_100,application_form_score_10,application_form_quality_score_100,application_form_coverage_score_100,application_form_signal_count
IC00001_DF_Doctoral.pdf,1,same_pdf,87.4,8.74,87.4,100.0,4.4554,31,112,27,29,98,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\reliability\IC00001_DF_Doctoral.pdf,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\experiments\results\reliability_results\parsed_cache\IC00001_DF_Doctoral.json,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\experiments\results\reliability_results\same_pdf_IC00001_DF_Doctoral_run_01\IC00001_DF_Doctoral_same_pdf_IC00001_DF_Doctoral_run_01_scored.json,90.0,9.0,90.0,100.0,23,92.1,9.21,92.1,100.0,32,80.0,8.0,80.0,100.0,12,95.0,9.5,95.0,100.0,16,82.2,8.22,82.2,100.0,18,85.0,8.5,85.0,100.0,11
IC00001_DF_Doctoral.pdf,2,same_pdf,90.2,9.02,90.2,100.0,4.5804,31,112,28,29,98,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\reliability\IC00001_DF_Doctoral.pdf,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\experiments\results\reliability_results\parsed_cache\IC00001_DF_Doctoral.json,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\experiments\results\reliability_results\same_pdf_IC00001_DF_Doctoral_run_02\IC00001_DF_Doctoral_same_pdf_IC00001_DF_Doctoral_run_02_scored.json,92.0,9.2,92.0,100.0,23,97.5,9.75,97.5,100.0,32,86.7,8.67,86.7,100.0,12,95.0,9.5,95.0,100.0,16,90.0,9.0,90.0,100.0,18,80.0,8.0,80.0,100.0,11
IC00001_DF_Doctoral.pdf,3,same_pdf,84.7,8.47,84.7,100.0,4.3036,31,112,27,29,98,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\reliability\IC00001_DF_Doctoral.pdf,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\experiments\results\reliability_results\parsed_cache\IC00001_DF_Doctoral.json,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\experiments\results\reliability_results\same_pdf_IC00001_DF_Doctoral_run_03\IC00001_DF_Doctoral_same_pdf_IC00001_DF_Doctoral_run_03_scored.json,87.0,8.7,87.0,100.0,23,94.2,9.42,94.2,100.0,32,86.7,8.67,86.7,100.0,12,83.8,8.38,83.8,100.0,16,76.7,7.67,76.7,100.0,18,80.0,8.0,80.0,100.0,11
IC00029_RfPB.pdf,1,same_pdf,82.9,8.29,82.9,88.89,3.625,31,112,17,24,73,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\reliability\IC00029_RfPB.pdf,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\experiments\results\reliability_results\parsed_cache\IC00029_RfPB.json,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\experiments\results\reliability_results\same_pdf_IC00029_RfPB_run_01\IC00029_RfPB_same_pdf_IC00029_RfPB_run_01_scored.json,72.8,7.28,72.8,100.0,23,100.0,10.0,100.0,100.0,32,0.0,0.0,0.0,0.0,12,71.2,7.12,71.2,100.0,16,87.8,8.78,87.8,100.0,18,82.8,8.28,82.8,100.0,11
IC00029_RfPB.pdf,2,same_pdf,80.0,8.0,80.0,88.89,3.4821,31,112,18,24,73,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\reliability\IC00029_RfPB.pdf,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\experiments\results\reliability_results\parsed_cache\IC00029_RfPB.json,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\experiments\results\reliability_results\same_pdf_IC00029_RfPB_run_02\IC00029_RfPB_same_pdf_IC00029_RfPB_run_02_scored.json,65.0,6.5,65.0,100.0,23,97.5,9.75,97.5,100.0,32,0.0,0.0,0.0,0.0,12,68.8,6.88,68.8,100.0,16,88.9,8.89,88.9,100.0,18,80.0,8.0,80.0,100.0,11
IC00029_RfPB.pdf,3,same_pdf,84.3,8.43,84.3,88.89,3.7232,31,112,20,24,73,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\reliability\IC00029_RfPB.pdf,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\experiments\results\reliability_results\parsed_cache\IC00029_RfPB.json,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\experiments\results\reliability_results\same_pdf_IC00029_RfPB_run_03\IC00029_RfPB_same_pdf_IC00029_RfPB_run_03_scored.json,72.8,7.28,72.8,100.0,23,95.0,9.5,95.0,100.0,32,0.0,0.0,0.0,0.0,12,80.0,8.0,80.0,100.0,16,88.9,8.89,88.9,100.0,18,85.0,8.5,85.0,100.0,11
IC00087_DCAF_Doctoral.pdf,1,same_pdf,90.8,9.08,90.8,100.0,4.5536,31,112,28,29,128,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\reliability\IC00087_DCAF_Doctoral.pdf,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\experiments\results\reliability_results\parsed_cache\IC00087_DCAF_Doctoral.json,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\experiments\results\reliability_results\same_pdf_IC00087_DCAF_Doctoral_run_01\IC00087_DCAF_Doctoral_same_pdf_IC00087_DCAF_Doctoral_run_01_scored.json,87.0,8.7,87.0,100.0,23,92.5,9.25,92.5,100.0,32,93.3,9.33,93.3,100.0,12,100.0,10.0,100.0,100.0,16,86.7,8.67,86.7,100.0,18,85.0,8.5,85.0,100.0,11
IC00087_DCAF_Doctoral.pdf,2,same_pdf,91.4,9.14,91.4,100.0,4.5893,31,112,28,29,128,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\reliability\IC00087_DCAF_Doctoral.pdf,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\experiments\results\reliability_results\parsed_cache\IC00087_DCAF_Doctoral.json,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\experiments\results\reliability_results\same_pdf_IC00087_DCAF_Doctoral_run_02\IC00087_DCAF_Doctoral_same_pdf_IC00087_DCAF_Doctoral_run_02_scored.json,87.0,8.7,87.0,100.0,23,91.7,9.17,91.7,100.0,32,91.7,9.17,91.7,100.0,12,100.0,10.0,100.0,100.0,16,93.3,9.33,93.3,100.0,18,85.0,8.5,85.0,100.0,11
IC00087_DCAF_Doctoral.pdf,3,same_pdf,88.6,8.86,88.6,100.0,4.5357,31,112,28,29,128,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\reliability\IC00087_DCAF_Doctoral.pdf,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\experiments\results\reliability_results\parsed_cache\IC00087_DCAF_Doctoral.json,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\experiments\results\reliability_results\same_pdf_IC00087_DCAF_Doctoral_run_03\IC00087_DCAF_Doctoral_same_pdf_IC00087_DCAF_Doctoral_run_03_scored.json,94.0,9.4,94.0,100.0,23,96.2,9.62,96.2,100.0,32,80.0,8.0,80.0,100.0,12,88.8,8.88,88.8,100.0,16,87.8,8.78,87.8,100.0,18,85.0,8.5,85.0,100.0,11
IC00091_AF_Postdoctoral.pdf,1,same_pdf,87.8,8.78,87.8,100.0,4.4018,31,112,28,29,104,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\reliability\IC00091_AF_Postdoctoral.pdf,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\experiments\results\reliability_results\parsed_cache\IC00091_AF_Postdoctoral.json,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\experiments\results\reliability_results\same_pdf_IC00091_AF_Postdoctoral_run_01\IC00091_AF_Postdoctoral_same_pdf_IC00091_AF_Postdoctoral_run_01_scored.json,94.0,9.4,94.0,100.0,23,87.5,8.75,87.5,100.0,32,93.3,9.33,93.3,100.0,12,80.0,8.0,80.0,100.0,16,86.7,8.67,86.7,100.0,18,85.0,8.5,85.0,100.0,11
